class, NCLOC, DCP, NOCom,WMC
./src/main/java/org/jfree/chart/labels/CategoryItemLabelGenerator.java,7,90.91,6,14
./src/main/java/org/jfree/chart/labels/CategorySeriesLabelGenerator.java,5,91.07,5,11
./src/main/java/org/jfree/chart/labels/CategoryToolTipGenerator.java,5,91.8,5,9
./src/main/java/org/jfree/chart/labels/CrosshairLabelGenerator.java,5,90,5,8
./src/main/java/org/jfree/chart/labels/CustomXYToolTipGenerator.java,77,54.44,5,22
./src/main/java/org/jfree/chart/labels/FlowLabelGenerator.java,6,88.89,2,9
./src/main/java/org/jfree/chart/labels/HighLowItemLabelGenerator.java,106,46.46,6,39
./src/main/java/org/jfree/chart/labels/IntervalCategoryItemLabelGenerator.java,54,55.74,6,33
./src/main/java/org/jfree/chart/labels/IntervalCategoryToolTipGenerator.java,64,54.61,4,36
./src/main/java/org/jfree/chart/labels/IntervalXYItemLabelGenerator.java,128,48.18,6,66
./src/main/java/org/jfree/chart/labels/IntervalXYToolTipGenerator.java,124,48.97,6,66
./src/main/java/org/jfree/chart/labels/ItemLabelAnchor.java,28,69.57,7,6
./src/main/java/org/jfree/chart/labels/ItemLabelPosition.java,76,55.29,9,15
./src/main/java/org/jfree/chart/labels/MultipleXYSeriesLabelGenerator.java,112,47.17,10,42
./src/main/java/org/jfree/chart/labels/PieSectionLabelGenerator.java,11,87.06,6,12
./src/main/java/org/jfree/chart/labels/PieToolTipGenerator.java,5,90.74,4,9
./src/main/java/org/jfree/chart/labels/StandardCategoryItemLabelGenerator.java,47,64.66,6,33
./src/main/java/org/jfree/chart/labels/StandardCategorySeriesLabelGenerator.java,57,60.42,8,26
./src/main/java/org/jfree/chart/labels/StandardCategoryToolTipGenerator.java,43,63.87,3,25
./src/main/java/org/jfree/chart/labels/StandardCrosshairLabelGenerator.java,57,58.39,5,22
./src/main/java/org/jfree/chart/labels/StandardFlowLabelGenerator.java,47,59.13,2,16
./src/main/java/org/jfree/chart/labels/StandardPieSectionLabelGenerator.java,85,63.04,7,38
./src/main/java/org/jfree/chart/labels/StandardPieToolTipGenerator.java,37,71.32,8,25
./src/main/java/org/jfree/chart/labels/StandardXYItemLabelGenerator.java,58,66.47,6,48
./src/main/java/org/jfree/chart/labels/StandardXYSeriesLabelGenerator.java,58,61.59,9,30
./src/main/java/org/jfree/chart/labels/StandardXYToolTipGenerator.java,59,66.09,6,44
./src/main/java/org/jfree/chart/labels/StandardXYZToolTipGenerator.java,109,52.81,7,54
./src/main/java/org/jfree/chart/labels/SymbolicXYItemLabelGenerator.java,70,55.13,5,20
./src/main/java/org/jfree/chart/labels/XYItemLabelGenerator.java,5,90.74,4,10
./src/main/java/org/jfree/chart/labels/XYSeriesLabelGenerator.java,5,91.23,5,12
./src/main/java/org/jfree/chart/labels/XYToolTipGenerator.java,5,90.57,4,9
./src/main/java/org/jfree/chart/labels/XYZToolTipGenerator.java,5,90.57,4,8
./src/main/java/org/jfree/chart/legend/LegendGraphic.java,334,51.1,8,70
./src/main/java/org/jfree/chart/legend/LegendItem.java,468,52.39,6,79
./src/main/java/org/jfree/chart/legend/LegendItemBlockContainer.java,69,59.41,3,10
./src/main/java/org/jfree/chart/legend/LegendItemCollection.java,56,60.56,3,12
./src/main/java/org/jfree/chart/legend/LegendItemSource.java,5,90,2,6
